Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
22,151,27,+9:52,5.0,Elissonde Kenny,5,FDJ.fr,8:53 8:53,,-,7,2014
21,148,46,+23:33,9.0,Verona Carlos,6,Omega Pharma - Quick-Step,22:34 22:34,,\u25b23,7,2014
24,102,51,+29:37,8.0,Bennett George,7,Cannondale,28:38 28:38,,\u25b21,7,2014
22,142,55,+32:29,13.0,Alaphilippe Julian,8,Omega Pharma - Quick-Step,31:30 31:30,,\u25b25,7,2014
25,171,60,+39:39,10.0,Damuseau Thomas,9,Team Giant - Shimano,38:40 38:40,,\u25b21,7,2014
21,184,61,+42:21,6.0,Conti Valerio,10,Lampre - Merida,41:22 41:22,,\u25bc4,7,2014
24,27,76,+50:31,11.0,Beltran Edward,11,Tinkoff - Saxo,49:32 49:32,,-,7,2014
25,186,89,+58:10,18.0,Favilli Elia,12,Lampre - Merida,57:11 57:11,,\u25b26,7,2014
21,111,91,+59:46,12.0,Jungels Bob,13,Trek Factory Racing,58:47 58:47,,\u25bc1,7,2014
22,172,96,+1:03:18,15.0,Arndt Nikias,14,Team Giant - Shimano,1:02:19 1:02:19,,\u25b21,7,2014
22,198,98,+1:06:49,16.0,van der Lijke Nick,15,Belkin-Pro Cycling Team,1:05:50 1:05:50,,\u25b21,7,2014
21,43,99,+1:06:54,14.0,Howson Damien,16,Orica GreenEDGE,1:05:55 1:05:55,,\u25bc2,7,2014
24,92,101,+1:08:04,21.0,Br\xe4ndle Matthias,17,IAM Cycling,1:07:05 1:07:05,,\u25b24,7,2014
24,56,107,+1:11:49,17.0,Sanz Enrique,18,Movistar Team,1:10:50 1:10:50,,\u25bc1,7,2014
22,22,113,+1:17:57,20.0,Valgren Michael,19,Tinkoff - Saxo,1:16:58 1:16:58,,\u25b21,7,2014
24,83,115,+1:21:59,19.0,Broeckx Stig,20,Lotto Belisol,1:21:00 1:21:00,,\u25bc1,7,2014
